"","bags","to_bag_num","to_bag"
"794","pale cyan","1","light tomato"
"795","pale cyan","2","dotted tan"
"796","muted chartreuse","2","dim coral"
"797","muted chartreuse","3","posh indigo"
"798","dull tan","1","clear teal"
"799","dull tan","2","dark blue"
"800","dull tan","1","bright magenta"
"801","bright olive","3","mirrored lavender"
"802","bright olive","4","plaid bronze"
"803","dark maroon","1","clear blue"
"804","dark maroon","4","dotted gray"
"805","plaid coral","4","muted salmon"
"806","plaid coral","3","light teal"
"807","plaid coral","4","pale black"
"808","pale beige","5","pale lavender"
"809","pale beige","1","shiny lime"
"810","pale beige","3","shiny yellow"
"811","pale beige","5","striped purple"
"812","vibrant brown","2","drab yellow"
"813","striped silver","3","vibrant aqua"
"814","striped silver","1","faded silver"
"815","drab gold","1","bright salmon"
"816","vibrant red","1","bright red"
"817","striped chartreuse","2","faded chartreuse"
"818","striped chartreuse","2","striped tan"
"819","dotted yellow","3","drab aqua"
"820","dotted yellow","3","dark gold"
"821","dotted yellow","3","shiny orange"
"822","dotted gold","2","posh fuchsia"
"823","dotted gold","3","faded teal"
"824","dotted gold","1","pale black"
"825","dotted gold","2","clear indigo"
"826","dark bronze","2","pale tomato"
"827","dark bronze","5","posh fuchsia"
"828","dark bronze","5","muted green"
"829","drab brown","4","dotted magenta"
"830","dull bronze","1","posh white"
"831","dull bronze","2","muted teal"
"832","dull bronze","5","vibrant tan"
"833","bright brown","3","bright bronze"
"834","bright brown","2","shiny tan"
"835","bright brown","3","dull green"
"836","dotted green","4","dim green"
"837","vibrant turquoise","1","mirrored magenta"
"838","vibrant turquoise","2","dark bronze"
"839","dim olive","3","mirrored blue"
"840","dim olive","5","drab maroon"
"841","dim olive","1","clear lime"
"842","posh plum","5","pale indigo"
"843","plaid bronze","1","plaid blue"
"844","shiny brown","3","shiny salmon"
"845","shiny brown","1","striped tan"
"846","shiny brown","4","clear aqua"
"847","clear olive","4","bright aqua"
"848","clear olive","1","clear maroon"
"849","clear olive","4","mirrored maroon"
"850","shiny black","3","pale violet"
"851","dotted lime","5","posh purple"
"852","dotted lime","3","dotted fuchsia"
"853","clear lavender","4","striped fuchsia"
"854","clear lavender","3","pale yellow"
"855","muted magenta","3","dim beige"
"856","muted magenta","2","wavy plum"
"857","muted turquoise","1","faded cyan"
"858","muted turquoise","3","bright tan"
"859","muted turquoise","3","striped brown"
"860","wavy gold","5","striped tan"
"861","wavy gold","5","muted salmon"
"862","wavy gold","5","dark gold"
"863","wavy gold","3","muted cyan"
"864","dull violet","1","faded white"
"865","dull violet","1","striped black"
"866","dull violet","2","vibrant maroon"
"867","dull violet","5","faded yellow"
"868","clear beige","1","shiny tomato"
"869","clear beige","5","posh brown"
"870","clear beige","1","faded cyan"
"871","clear beige","3","dotted gray"
"872","muted olive","1","dotted chartreuse"
"873","muted olive","3","pale chartreuse"
"874","posh blue","3","light red"
"875","posh blue","1","bright lavender"
"876","posh blue","4","dim coral"
"877","posh blue","2","clear lime"
"878","striped olive","3","shiny gold"
"879","mirrored tan","3","muted tomato"
"880","shiny plum","2","dark olive"
"881","shiny plum","3","wavy green"
"882","shiny plum","2","shiny lavender"
"883","plaid teal","3","posh purple"
"884","plaid teal","1","muted violet"
"885","plaid teal","2","dark tan"
"886","plaid teal","1","wavy gold"
"887","striped white","1","striped turquoise"
"888","striped white","3","shiny yellow"
"889","vibrant beige","1","clear olive"
"890","vibrant beige","4","wavy lime"
"891","vibrant crimson","4","muted salmon"
"892","vibrant crimson","5","light bronze"
"893","muted aqua","4","plaid gold"
"894","muted aqua","1","clear olive"
"895","muted aqua","1","striped silver"
"896","muted aqua","1","pale purple"
"897","dotted indigo","1","light gray"
"898","dotted indigo","3","dark olive"
"899","dotted indigo","1","faded beige"
"900","wavy aqua","3","muted fuchsia"
"901","wavy aqua","1","dull coral"
"902","wavy aqua","2","dark tan"
"903","wavy aqua","1","clear plum"
"904","dull coral","1","bright gold"
"905","dull coral","5","dark salmon"
"906","dull coral","3","mirrored fuchsia"
"907","dull coral","3","bright crimson"
"908","vibrant plum","1","drab violet"
"909","vibrant plum","3","shiny beige"
"910","mirrored white","3","drab bronze"
"911","mirrored white","3","shiny aqua"
"912","dotted fuchsia","5","vibrant cyan"
"913","dotted fuchsia","4","mirrored teal"
"914","dotted fuchsia","1","drab white"
"915","dotted fuchsia","5","wavy black"
"916","bright chartreuse","2","shiny gold"
"917","bright chartreuse","5","dim green"
"918","dim gold","5","muted purple"
"919","posh olive","2","faded yellow"
"920","posh olive","5","dotted gray"
"921","drab purple","5","vibrant beige"
"922","drab purple","4","striped indigo"
"923","drab purple","3","pale fuchsia"
"924","drab red","1","faded blue"
"925","drab red","5","dull indigo"
"926","drab red","4","posh purple"
"927","drab red","4","plaid bronze"
"928","shiny gray","1","drab violet"
"929","shiny gray","1","dotted yellow"
"930","shiny violet","4","clear salmon"
"931","shiny violet","5","shiny cyan"
"932","shiny violet","2","shiny tomato"
"933","plaid red","5","dull olive"
"934","plaid red","3","pale teal"
"935","plaid red","2","clear bronze"
"936","plaid red","1","light bronze"
"937","clear coral","1","faded bronze"
"938","clear coral","5","dull red"
"939","shiny purple","4","clear blue"
"940","shiny purple","3","pale red"
"941","shiny purple","5","dull tomato"
"942","shiny purple","4","shiny orange"
"943","dotted black","4","muted tan"
"944","dotted black","2","dim tan"
"945","dotted black","2","muted cyan"
"946","dotted black","2","dull black"
"947","pale blue","3","wavy gray"
"948","pale blue","2","drab violet"
"949","pale blue","2","dull chartreuse"
"950","pale blue","5","plaid yellow"
"951","mirrored lavender","1","wavy green"
"952","mirrored lavender","3","striped brown"
"953","plaid turquoise","4","clear gray"
"954","plaid turquoise","1","muted green"
"955","plaid turquoise","3","dull tan"
"956","plaid turquoise","4","shiny indigo"
"957","bright tan","4","shiny olive"
"958","bright tan","1","clear salmon"
"959","bright tan","4","bright indigo"
"960","bright tan","2","drab maroon"
"961","dark lime","4","bright chartreuse"
"962","dark lime","3","posh maroon"
"963","dark lime","1","shiny tan"
"964","dark lime","5","pale bronze"
"965","clear turquoise","3","bright orange"
"966","clear turquoise","1","faded yellow"
"967","clear turquoise","5","posh purple"
"968","clear turquoise","1","vibrant coral"
"969","plaid beige","4","light blue"
"970","plaid beige","5","bright bronze"
"971","pale gold","1","pale indigo"
"972","light maroon","3","faded cyan"
"973","light maroon","5","shiny lavender"
"974","light maroon","3","drab yellow"
"975","posh white","2","mirrored lavender"
"976","posh white","2","posh teal"
"977","posh white","3","dull teal"
"978","posh white","1","plaid salmon"
"979","shiny tan","2","bright indigo"
"980","shiny tan","3","plaid lime"
"981","shiny tan","3","light chartreuse"
"982","wavy violet","2","drab orange"
"983","dotted bronze","2","mirrored aqua"
"984","dotted bronze","3","dull fuchsia"
"985","dull lime","2","bright lavender"
"986","shiny salmon","5","posh olive"
"987","shiny salmon","3","pale teal"
"988","light lime","1","light plum"
"989","mirrored silver","1","clear purple"
"990","dark magenta","1","dotted yellow"
"991","dotted white","2","vibrant aqua"
"992","dotted white","5","pale green"
"993","dotted white","1","dark fuchsia"
"994","posh beige","4","drab maroon"
"995","posh beige","3","muted cyan"
"996","faded blue","5","muted tomato"
"997","faded blue","5","clear black"
"998","faded blue","4","muted gray"
"999","dim fuchsia","5","dark gold"
"1000","vibrant lavender","4","shiny purple"
"1001","pale bronze","3","wavy red"
"1002","pale bronze","4","shiny tan"
"1003","plaid orange","3","vibrant indigo"
"1004","bright coral","3","faded olive"
"1005","bright coral","4","striped coral"
"1006","bright coral","5","plaid violet"
"1007","bright coral","3","bright lavender"
"1008","striped teal","1","striped magenta"
"1009","striped teal","5","plaid white"
"1010","plaid gray","4","dotted gray"
"1011","plaid gray","3","clear beige"
"1012","faded salmon","1","dotted turquoise"
"1013","striped violet","3","dim cyan"
"1014","striped violet","5","drab plum"
"1015","striped violet","5","pale gray"
"1016","dotted magenta","3","plaid bronze"
"1017","dotted salmon","4","wavy tomato"
"1018","dotted salmon","2","vibrant silver"
"1019","dotted salmon","5","dim aqua"
"1020","dark aqua","3","posh olive"
"1021","dark aqua","4","clear salmon"
"1022","dark aqua","2","striped purple"
"1023","dark aqua","4","faded yellow"
"1024","vibrant cyan","4","light red"
"1025","pale aqua","5","clear brown"
"1026","pale aqua","1","muted cyan"
"1027","pale aqua","1","pale maroon"
"1028","clear brown","5","vibrant white"
"1029","clear brown","2","clear blue"
"1030","dim black","3","muted salmon"
"1031","dim black","2","plaid bronze"
"1032","dim black","4","shiny cyan"
"1033","dim black","4","posh green"
"1034","pale crimson","5","pale lime"
"1035","pale crimson","1","mirrored tomato"
"1036","pale crimson","2","dull green"
"1037","pale crimson","2","mirrored teal"
"1038","shiny teal","5","dark chartreuse"
"1039","shiny teal","4","faded yellow"
"1040","shiny teal","3","faded coral"
"1041","faded brown","4","plaid plum"
"1042","faded brown","5","mirrored orange"
"1043","faded brown","4","shiny aqua"
"1044","pale silver","1","bright turquoise"
"1045","pale silver","2","mirrored yellow"
"1046","pale silver","1","faded red"
"1047","light black","3","shiny indigo"
"1048","bright orange","1","faded coral"
"1049","drab fuchsia","3","wavy lavender"
"1050","drab fuchsia","3","plaid yellow"
"1051","drab fuchsia","2","clear olive"
"1052","drab fuchsia","4","clear red"
"1053","bright lime","2","dull magenta"
"1054","pale magenta","1","faded white"
"1055","pale magenta","2","faded salmon"
"1056","light cyan","1","wavy yellow"
"1057","light cyan","3","bright crimson"
"1058","light cyan","3","striped violet"
"1059","shiny silver","3","shiny olive"
"1060","shiny silver","1","dark plum"
"1061","shiny silver","2","muted cyan"
"1062","shiny red","3","posh turquoise"
"1063","shiny red","5","pale gold"
"1064","muted coral","1","shiny aqua"
"1065","muted coral","5","dim green"
"1066","muted coral","2","muted purple"
"1067","muted coral","4","pale turquoise"
"1068","dark black","3","shiny gray"
"1069","dark black","2","mirrored aqua"
"1070","dark black","3","vibrant magenta"
"1071","dull yellow","5","clear teal"
"1072","shiny lime","5","posh magenta"
"1073","shiny lime","3","light salmon"
"1074","muted tan","4","bright chartreuse"
"1075","bright magenta","4","dotted violet"
"1076","bright magenta","2","light gold"
"1077","bright magenta","5","dim indigo"
"1078","bright magenta","4","dark olive"
"1079","faded lime","3","mirrored gold"
"1080","faded lime","5","wavy tomato"
"1081","faded lime","5","muted lavender"
"1082","wavy coral","3","posh maroon"
"1083","wavy coral","1","striped black"
"1084","dull red","4","plaid yellow"
"1085","dull red","5","drab lime"
"1086","dull red","5","plaid plum"
"1087","wavy blue","4","bright brown"
"1088","wavy blue","1","bright magenta"
"1089","wavy blue","5","pale indigo"
"1090","wavy blue","1","muted tomato"
"1091","dull salmon","2","mirrored orange"
"1092","dull salmon","3","shiny plum"
"1093","muted brown","5","dull beige"
"1094","muted brown","3","vibrant aqua"
"1095","muted brown","3","clear lavender"
"1096","faded lavender","1","vibrant orange"
"1097","faded lavender","3","faded magenta"
"1098","vibrant maroon","3","muted crimson"
"1099","vibrant maroon","5","striped purple"
"1100","vibrant maroon","5","pale tomato"
"1101","faded black","2","dark purple"
"1102","dim gray","4","dotted coral"
"1103","dim gray","4","muted orange"
"1104","striped yellow","1","dark salmon"
"1105","striped yellow","1","pale silver"
"1106","striped yellow","1","wavy brown"
"1107","striped yellow","1","light gold"
"1108","dim violet","5","posh magenta"
"1109","dim violet","1","pale aqua"
"1110","dim violet","1","pale maroon"
"1111","dim violet","5","dim lavender"
"1112","plaid indigo","1","shiny silver"
"1113","plaid indigo","3","pale gray"
"1114","plaid indigo","4","dull maroon"
"1115","plaid indigo","5","faded coral"
"1116","light purple","1","faded violet"
"1117","light purple","4","pale orange"
"1118","light purple","1","drab yellow"
"1119","faded indigo","5","faded white"
"1120","faded indigo","2","dotted lavender"
"1121","faded indigo","4","dark gold"
"1122","faded indigo","1","plaid plum"
"1123","vibrant tomato","4","light plum"
"1124","light coral","4","posh fuchsia"
"1125","dotted coral","3","vibrant magenta"
"1126","dotted coral","5","bright beige"
"1127","drab olive","2","wavy salmon"
"1128","drab olive","2","pale aqua"
"1129","drab olive","2","dark indigo"
"1130","drab olive","2","drab green"
"1131","dull green","5","dull crimson"
"1132","muted gray","5","bright chartreuse"
"1133","muted gray","4","clear fuchsia"
"1134","muted gray","2","light red"
"1135","muted gray","3","shiny gold"
"1136","clear red","4","pale teal"
"1137","clear red","2","shiny gold"
"1138","clear red","1","mirrored tomato"
"1139","clear red","4","faded yellow"
"1140","vibrant violet","3","light gray"
"1141","vibrant violet","2","posh green"
"1142","vibrant violet","3","shiny salmon"
"1143","posh salmon","4","muted blue"
"1144","posh salmon","3","posh purple"
"1145","posh salmon","4","dim silver"
"1146","posh salmon","5","faded white"
"1147","wavy white","3","wavy fuchsia"
"1148","wavy white","1","drab black"
"1149","wavy white","5","vibrant aqua"
"1150","wavy white","2","wavy magenta"
"1151","light orange","2","light black"
"1152","light orange","1","wavy maroon"
"1153","shiny bronze","1","drab crimson"
"1154","shiny bronze","1","clear purple"
"1155","shiny bronze","4","dotted cyan"
"1156","shiny bronze","5","mirrored yellow"
"1157","dull tomato","5","dark gray"
"1158","wavy salmon","4","wavy orange"
"1159","wavy salmon","5","dull silver"
"1160","wavy salmon","4","wavy maroon"
"1161","wavy salmon","2","posh blue"
"1162","shiny cyan","5","vibrant plum"
"1163","shiny cyan","1","plaid plum"
"1164","wavy turquoise","2","bright gold"
"1165","shiny crimson","2","faded indigo"
"1166","shiny crimson","2","muted lavender"
"1167","wavy brown","2","clear indigo"
"1168","bright aqua","2","wavy plum"
"1169","bright aqua","2","shiny beige"
"1170","bright aqua","5","clear black"
"1171","bright aqua","2","light black"
"1172","light bronze","3","vibrant maroon"
"1173","vibrant fuchsia","1","dotted cyan"
"1174","dull crimson","2","plaid lime"
"1175","dull crimson","2","plaid bronze"
"1176","dull crimson","3","shiny orange"
"1177","mirrored tomato","3","clear maroon"
"1178","mirrored tomato","4","striped crimson"
"1179","mirrored tomato","3","drab plum"
"1180","mirrored tomato","5","plaid plum"
"1181","dark silver","5","pale cyan"
"1182","dark silver","4","drab magenta"
"1183","posh lavender","5","faded olive"
"1184","bright plum","5","posh indigo"
"1185","faded teal","1","vibrant maroon"
"1186","faded teal","1","wavy maroon"
"1187","faded teal","2","dark violet"
"1188","faded teal","2","pale yellow"
"1189","mirrored coral","1","muted magenta"
"1190","mirrored coral","4","clear turquoise"
"1191","mirrored coral","5","muted purple"
"1192","mirrored coral","2","pale black"
"1193","vibrant lime","2","pale lavender"
"1194","vibrant lime","5","clear purple"
"1195","dark tan","2","bright beige"
"1196","dark tan","5","drab aqua"
"1197","muted lavender","3","posh olive"
"1198","muted lavender","2","faded cyan"
"1199","dull fuchsia","3","vibrant maroon"
"1200","dim magenta","4","faded cyan"
"1201","dim magenta","3","dim indigo"
"1202","dim magenta","1","mirrored teal"
"1203","dim magenta","5","vibrant teal"
"1204","posh orange","1","wavy green"
"1205","clear white","2","faded purple"
"1206","clear white","4","dotted yellow"
"1207","light olive","3","faded plum"
"1208","light olive","3","wavy chartreuse"
"1209","light fuchsia","3","clear orange"
"1210","striped turquoise","4","faded cyan"
"1211","striped turquoise","4","bright green"
"1212","striped turquoise","5","mirrored magenta"
"1213","light teal","1","clear gold"
"1214","light teal","2","dull olive"
"1215","light teal","2","clear teal"
"1216","wavy teal","1","light gold"
"1217","wavy teal","5","light chartreuse"
"1218","wavy teal","2","dim purple"
"1219","striped beige","2","mirrored cyan"
"1220","striped beige","2","plaid aqua"
"1221","striped beige","3","dull lavender"
"1222","striped beige","1","dull chartreuse"
"1223","striped aqua","0","no other"
"1224","shiny green","5","posh tomato"
"1225","shiny green","1","faded olive"
"1226","shiny green","5","pale maroon"
"1227","posh magenta","2","dull green"
"1228","posh magenta","3","wavy maroon"
"1229","posh magenta","4","faded silver"
"1230","faded silver","5","dark lime"
"1231","faded silver","2","striped brown"
"1232","dim maroon","1","light crimson"
"1233","dim maroon","5","posh black"
"1234","dim maroon","5","striped bronze"
"1235","dim chartreuse","3","pale plum"
"1236","dim chartreuse","2","clear fuchsia"
"1237","dim chartreuse","3","bright beige"
"1238","drab crimson","4","drab orange"
"1239","drab crimson","2","dark blue"
"1240","drab crimson","1","shiny gray"
"1241","drab crimson","1","pale gray"
"1242","dim beige","4","dark orange"
"1243","dim beige","1","shiny salmon"
"1244","dim beige","5","bright indigo"
"1245","dim beige","1","shiny indigo"
"1246","light blue","2","vibrant white"
"1247","light blue","1","pale turquoise"
"1248","light blue","3","drab maroon"
"1249","light blue","4","mirrored cyan"
"1250","dim aqua","3","bright chartreuse"
"1251","dim aqua","2","clear black"
"1252","dim aqua","4","dotted gray"
"1253","dim aqua","3","plaid bronze"
"1254","striped fuchsia","2","shiny teal"
"1255","striped fuchsia","4","striped aqua"
"1256","striped fuchsia","4","dull lavender"
"1257","striped fuchsia","2","dull crimson"
"1258","wavy yellow","5","pale gray"
"1259","wavy yellow","2","faded red"
"1260","wavy yellow","3","vibrant silver"
"1261","bright fuchsia","1","faded teal"
"1262","bright fuchsia","5","shiny lavender"
"1263","bright fuchsia","2","muted cyan"
"1264","mirrored violet","4","plaid olive"
"1265","mirrored violet","2","dotted magenta"
"1266","mirrored violet","4","striped aqua"
"1267","mirrored violet","5","wavy lavender"
"1268","wavy maroon","2","mirrored maroon"
"1269","wavy maroon","3","drab violet"
"1270","wavy maroon","2","dark plum"
"1271","wavy maroon","2","faded cyan"
"1272","dim green","3","clear lime"
"1273","muted beige","4","posh coral"
"1274","muted beige","1","mirrored teal"
"1275","muted beige","5","shiny cyan"
"1276","muted beige","2","light plum"
"1277","posh turquoise","1","dull fuchsia"
"1278","clear orange","2","faded chartreuse"
"1279","clear orange","3","dark blue"
"1280","clear orange","5","plaid yellow"
"1281","light green","5","mirrored chartreuse"
"1282","light green","4","pale bronze"
"1283","clear bronze","5","vibrant coral"
"1284","clear bronze","2","bright beige"
"1285","clear bronze","4","dark lime"
"1286","clear silver","1","bright gray"
"1287","clear silver","5","dotted white"
"1288","clear silver","2","dotted lavender"
"1289","clear silver","1","dim violet"
"1290","drab green","1","drab violet"
"1291","mirrored salmon","1","dim beige"
"1292","mirrored maroon","2","posh black"
"1293","mirrored maroon","4","striped black"
"1294","mirrored maroon","2","dotted gray"
"1295","mirrored maroon","4","striped gray"
"1296","mirrored aqua","4","clear black"
"1297","pale purple","5","dim green"
"1298","pale purple","3","striped tan"
"1299","pale purple","5","wavy olive"
"1300","pale purple","4","muted cyan"
"1301","dotted teal","1","dotted orange"
"1302","dotted teal","2","dotted chartreuse"
"1303","vibrant olive","2","posh olive"
"1304","dotted aqua","5","drab orange"
"1305","clear yellow","1","clear orange"
"1306","clear yellow","3","dim beige"
"1307","clear yellow","3","bright indigo"
"1308","clear yellow","1","drab yellow"
"1309","vibrant gray","3","mirrored plum"
"1310","dull beige","3","dull indigo"
"1311","dull beige","2","dotted lavender"
"1312","dull beige","2","shiny orange"
"1313","shiny chartreuse","2","light brown"
"1314","shiny chartreuse","1","faded tomato"
"1315","shiny chartreuse","1","drab black"
"1316","light chartreuse","2","wavy red"
"1317","light chartreuse","4","muted green"
"1318","light chartreuse","1","drab aqua"
"1319","light chartreuse","4","mirrored maroon"
"1320","bright violet","4","dotted yellow"
"1321","bright violet","2","shiny aqua"
"1322","bright violet","2","drab aqua"
"1323","bright violet","1","bright red"
"1324","dull gold","2","muted maroon"
"1325","dull gold","1","wavy maroon"
"1326","dotted beige","4","plaid magenta"
"1327","wavy silver","5","pale beige"
"1328","wavy silver","3","posh orange"
"1329","wavy silver","1","clear turquoise"
"1330","wavy silver","3","bright lavender"
"1331","plaid aqua","1","dull lime"
"1332","plaid aqua","5","plaid crimson"
"1333","drab tomato","4","wavy plum"
"1334","muted cyan","5","faded cyan"
"1335","muted cyan","4","posh olive"
"1336","muted cyan","5","faded yellow"
"1337","muted cyan","4","dark chartreuse"
"1338","dull olive","1","dark black"
"1339","dull olive","2","clear gold"
"1340","dull olive","4","dark orange"
"1341","bright salmon","5","dark chartreuse"
"1342","bright salmon","5","posh black"
"1343","wavy beige","4","dim green"
"1344","posh fuchsia","4","drab plum"
"1345","striped red","5","posh turquoise"
"1346","striped red","2","posh indigo"
"1347","striped red","5","dim silver"
"1348","dim lavender","5","vibrant chartreuse"
"1349","plaid green","4","striped fuchsia"
"1350","dull lavender","5","clear lime"
"1351","dull lavender","5","wavy green"
"1352","dull lavender","2","dark blue"
"1353","dull lavender","1","striped gray"
"1354","dark brown","4","light silver"
"1355","dark brown","4","pale violet"
"1356","dark brown","3","light cyan"
"1357","dark brown","1","pale cyan"
"1358","wavy green","3","mirrored teal"
"1359","wavy green","2","muted green"
"1360","drab teal","4","shiny teal"
"1361","drab teal","3","striped aqua"
"1362","drab teal","5","dim coral"
"1363","shiny orange","4","drab aqua"
"1364","shiny orange","4","pale teal"
"1365","shiny orange","3","dull maroon"
"1366","vibrant blue","2","vibrant tomato"
"1367","vibrant blue","1","plaid cyan"
"1368","vibrant blue","3","pale red"
"1369","mirrored purple","2","striped tan"
"1370","mirrored purple","1","pale olive"
"1371","faded purple","2","plaid lavender"
"1372","light aqua","3","vibrant chartreuse"
"1373","vibrant magenta","3","clear salmon"
"1374","vibrant magenta","4","posh brown"
"1375","vibrant magenta","4","striped black"
"1376","plaid salmon","1","striped gray"
"1377","plaid salmon","5","dark plum"
"1378","dim white","3","faded fuchsia"
"1379","dim white","2","clear yellow"
"1380","light magenta","1","vibrant turquoise"
"1381","clear chartreuse","1","posh olive"
"1382","clear chartreuse","1","drab blue"
"1383","clear tan","2","dark blue"
"1384","clear tan","4","light gold"
"1385","clear tan","5","muted indigo"
"1386","light turquoise","4","drab beige"
"1387","light turquoise","4","shiny bronze"
"1388","light turquoise","3","dull olive"
"1389","light turquoise","3","striped indigo"
"1390","pale white","5","dotted white"
"1391","pale white","3","faded gold"
"1392","pale white","5","striped turquoise"
"1393","dark gray","3","clear teal"
"1394","dark gray","4","posh green"
"1395","dark gray","2","striped brown"
"1396","dark gray","3","light tomato"
"1397","clear maroon","5","drab maroon"
"1398","vibrant white","1","muted green"
"1399","vibrant white","5","dark aqua"
"1400","vibrant white","3","clear black"
"1401","vibrant white","4","drab teal"
"1402","striped indigo","1","bright turquoise"
"1403","striped indigo","5","shiny orange"
"1404","striped indigo","1","clear fuchsia"
"1405","striped indigo","1","light chartreuse"
"1406","dull cyan","2","light salmon"
"1407","dull cyan","5","striped magenta"
"1408","dull cyan","2","wavy lavender"
"1409","dull cyan","3","faded fuchsia"
"1410","wavy plum","3","muted crimson"
"1411","wavy plum","2","dim green"
"1412","pale tan","3","mirrored turquoise"
"1413","pale tan","5","wavy salmon"
"1414","vibrant green","5","plaid chartreuse"
"1415","vibrant green","2","muted teal"
"1416","bright bronze","4","clear indigo"
"1417","bright bronze","1","mirrored bronze"
"1418","bright bronze","1","mirrored magenta"
"1419","bright bronze","5","posh beige"
"1420","faded plum","2","dotted tan"
"1421","mirrored blue","2","clear lime"
"1422","mirrored blue","5","faded coral"
"1423","mirrored blue","1","drab aqua"
"1424","plaid gold","2","muted tomato"
"1425","plaid gold","1","shiny blue"
"1426","plaid gold","1","dim gray"
"1427","plaid gold","1","dotted salmon"
"1428","posh black","3","faded cyan"
"1429","posh black","5","posh brown"
"1430","posh black","1","striped black"
"1431","light salmon","1","clear lime"
"1432","light salmon","4","posh black"
"1433","muted violet","4","wavy cyan"
"1434","faded cyan","4","faded coral"
"1435","faded cyan","3","faded yellow"
"1436","faded turquoise","3","wavy magenta"
"1437","faded turquoise","3","plaid bronze"
"1438","faded turquoise","1","dotted chartreuse"
"1439","plaid cyan","1","shiny tan"
"1440","plaid cyan","1","faded coral"
"1441","plaid cyan","1","vibrant plum"
"1442","plaid cyan","2","bright lavender"
"1443","mirrored brown","1","faded chartreuse"
"1444","mirrored brown","2","striped plum"
"1445","light lavender","1","dull teal"
"1446","light lavender","3","dark fuchsia"
"1447","striped crimson","1","light salmon"
"1448","striped crimson","2","drab black"
"1449","striped crimson","3","vibrant white"
"1450","striped crimson","5","dull maroon"
"1451","dotted crimson","1","posh orange"
"1452","dotted crimson","4","muted green"
"1453","dotted crimson","2","mirrored indigo"
"1454","clear cyan","3","light yellow"
"1455","light indigo","5","plaid cyan"
"1456","light indigo","2","mirrored fuchsia"
"1457","light white","2","light chartreuse"
"1458","drab yellow","1","mirrored blue"
"1459","dim cyan","2","posh salmon"
"1460","dim cyan","5","bright chartreuse"
"1461","dim cyan","3","dark chartreuse"
"1462","pale gray","5","dim orange"
"1463","pale gray","2","dark plum"
"1464","pale gray","1","vibrant plum"
"1465","pale gray","3","striped tan"
"1466","bright tomato","3","posh indigo"
"1467","bright tomato","1","dotted aqua"
"1468","bright tomato","5","muted olive"
"1469","shiny olive","2","drab aqua"
"1470","mirrored turquoise","3","shiny violet"
"1471","mirrored turquoise","3","drab crimson"
"1472","mirrored turquoise","3","dotted tomato"
"1473","mirrored turquoise","5","bright violet"
"1474","light gray","1","vibrant white"
"1475","light gray","2","muted indigo"
"1476","light gray","3","drab teal"
"1477","bright green","4","bright indigo"
"1478","striped lavender","2","striped aqua"
"1479","striped lavender","5","light crimson"
"1480","striped lavender","4","drab maroon"
"1481","posh green","2","muted turquoise"
"1482","posh green","4","dark blue"
"1483","posh green","4","light chartreuse"
"1484","posh green","1","pale purple"
"1485","plaid fuchsia","3","shiny yellow"
"1486","plaid fuchsia","2","shiny maroon"
"1487","plaid fuchsia","1","clear aqua"
"1488","dim purple","4","light crimson"
"1489","dim purple","2","dotted yellow"
"1490","dim purple","2","mirrored maroon"
"1491","dark salmon","2","faded teal"
"1492","dark salmon","4","drab white"
"1493","dark salmon","3","posh bronze"
"1494","drab maroon","0","no other"
"1495","dark lavender","4","muted brown"
"1496","dark lavender","5","dark orange"
"1497","dark lavender","1","plaid aqua"
"1498","dark lavender","2","muted cyan"
"1499","pale tomato","5","drab maroon"
"1500","pale tomato","2","posh orange"
"1501","pale tomato","4","pale bronze"
"1502","shiny gold","2","light chartreuse"
"1503","shiny gold","2","drab black"
"1504","shiny gold","1","bright orange"
"1505","shiny gold","1","shiny teal"
"1506","bright beige","5","dim teal"
"1507","bright beige","3","posh indigo"
"1508","dim crimson","4","wavy lime"
"1509","dim crimson","4","dim orange"
"1510","dim crimson","1","faded green"
"1511","dim red","4","drab plum"
"1512","dim red","4","shiny gold"
"1513","wavy tomato","4","plaid bronze"
"1514","wavy tomato","1","striped black"
"1515","dark plum","5","shiny olive"
"1516","dark plum","1","drab violet"
"1517","dark plum","2","striped black"
"1518","dark plum","1","faded coral"
